key,name,side_effects
615015,Lenvatinib,"['fatigue or tiredness', 'rash, redness, itching, or peeling of skin on palms and sole(s) of the feet', 'diarrhea', 'nausea', 'constipation', 'heartburn', 'decreased appetite', 'weight loss', 'change in ability to taste food', 'cough', 'hoarseness', 'mouth sores', 'dry mouth', 'headache', 'joint and muscle pain', 'difficulty falling asleep or staying asleep', 'hair loss', 'fever', 'burning during urination', 'rash', 'shortness of breath or trouble breathing', 'swelling of legs and ankles', 'chest pain', 'numbness or weakness of the face, arm, or leg on one side of your body', 'pain in arms, back, neck, or jaw', 'sudden, severe headache', 'slow or difficult speech', 'sudden changes in vision', 'yellowing of the skin or eyes', 'stomach pain', 'dark (tea-colored) urine', 'light-colored stools', 'seizures', 'weakness', 'confusion', 'severe and persistent nose bleeds', 'bloody vomit', 'black, tarry, or bloody stools', 'coughing up blood or blood clots', 'heavy menstrual bleeding', 'vomiting, diarrhea, or signs of dehydration', 'wounds that do not heal']"
682464,Methimazole,"['skin rash', 'itching', 'abnormal hair loss', 'upset stomach', 'vomiting', 'loss of taste', 'abnormal sensations (tingling, prickling, burning, tightness, and pulling)', 'swelling', 'joint and muscle pain', 'drowsiness', 'dizziness', 'decreased white blood cells', 'decreased platelets', 'sore throat', 'fever', 'headache', 'chills', 'unusual bleeding or bruising', 'right-sided abdominal pain with decreased appetite', 'yellowing of the skin or eyes', 'skin eruptions']"
603012,Aripiprazole,"['headache', 'nervousness', 'restlessness', 'dizziness, feeling unsteady, or having trouble keeping your balance', 'heartburn', 'constipation', 'diarrhea', 'stomach pain', 'weight gain', 'changes in appetite', 'increased salivation', 'pain, especially in the arms, legs, or joints', 'tiredness', 'rash; hives; itching; swelling of the eyes, face, mouth, lips, tongue, or throat; or difficulty breathing or swallowing', 'difficulty breathing or swallowing', 'seizures', 'uncontrollable moevments of the face, tongue, or other body parts', 'fever; stiff muscles; sweating; confusion; sweating; or fast, pounding, or irregular heartbeat', 'problems with coordination or increased falls', 'tightening of the neck muscles or throat tightness']"
684037,Diflunisal,"['vomiting', 'diarrhea', 'constipation', 'gas', 'headache', 'dizziness', 'ringing in the ears', 'problems with vision', 'upset stomach', 'shortness of breath or difficulty breathing', 'swelling of the abdomen, feet, ankles, or lower legs', 'excessive tiredness', 'unusual bleeding or bruising', 'itching', 'lack of energy', 'loss of appetite', 'pain in the upper right part of the stomach', 'yellowing of the skin or eyes', 'flu-like symptoms', 'rash', 'blisters', 'fever or chills', 'pale skin', 'fast heartbeat', 'easy bruising or bleeding', 'muscle or joint pain', 'unexplained weight gain', 'back pain', 'cloudy, discolored, or bloody urine', 'difficult or painful urination', 'frequent urination, especially at night', 'swelling of the face, throat, tongue, lips, eyes, or hands', 'hoarseness', 'difficulty swallowing']"
602002,Desloratadine,"['headache', 'nausea, diarrhea', 'dizziness', 'sore throat', 'dry mouth', 'muscle pain', 'tiredness, sleepiness', 'rash, itching, hives, difficulty breathing or swallowing,Â\xa0or swelling of the face, throat, tongue, lips, eyes, hands, feet, ankles, or lower legs']"
610007,Topotecan,"['nausea', 'vomiting', 'diarrhea', 'loss of appetite', 'hair loss', 'hives', 'rash', 'itching', 'hoarseness', 'difficulty breathing or swallowing']"
600034,Delavirdine,"['excessive tiredness', 'headache', 'nausea', 'diarrhea', 'rash', 'rash along with other symptoms such as fever, blistering, sores in the mouth, red or swollen eyes, or muscle or joint pain', 'hives', 'itching', 'swelling of the face, throat, tongue, lips, eyes, hands, feet, ankles, or lower legs', 'hoarseness', 'difficulty breathing or swallowing']"
615034,Sonidegib,"['diarrhea', 'abdominal pain', 'loss of appetite', 'weight loss', 'nausea', 'vomiting', 'change in ability to taste food', 'hair loss', 'itching', 'weakness', 'extreme tiredness', 'pain', 'missed menstrual periods', 'muscle spasms', 'unexplained muscle pain, tenderness or weakness', 'dark or cola colored urine', 'decreased urination', 'inability to urinate']"
614060,Olaparib,"['diarrhea', 'constipation', 'heartburn', 'headache', 'decreased appetite', 'muscle, joint, or back pain', 'fatigue', 'dizziness', 'stomach pain or discomfort', 'taste changes', 'mouth pain or sores', 'rash', 'shortness of breath, new or worsening cough, difficulty breathing, wheezing, or fever', 'weakness', 'extreme tiredness', 'weight loss', 'unusual bruising or bleeding', 'pale skin', 'blood in urine or stool', 'fever, chills, cough, sore throat, difficulty urinating, pain when urinating, or other signs of infection', 'pain, tenderness, redness, or swelling in one leg', 'chest pain or tightness, shortness of breath, coughing up blood, fast or pounding heartbeat, rapid breathing']"
624036,Mavorixafor,"['rash', 'itching', 'runny or stuffy nose', 'dizziness', 'vomiting', 'unusual bruising or bleeding', 'nose bleed']"
