key,name
613040,Trametinib
613041,Fentanyl Sublingual Spray
613042,Buprenorphine Transdermal Patch
613043,Dolutegravir
613044,Afatinib
613045,Doxylamine and Pyridoxine
613046,Calcitriol Topical
613047,Levonorgestrel Intrauterine System
613048,Levomilnacipran
614001,Ertapenem Injection
614002,Tigecycline Injection
614003,Vortioxetine
614004,Estrogen and Bazedoxifene
614005,Mifepristone (Korlym)
614006,Perampanel
614007,Ibrutinib
614008,Lomitapide
614009,Mechlorethamine Topical
614010,Avanafil
614011,Ketorolac Injection
614012,Obinutuzumab Injection
614013,Simeprevir
614014,Sofosbuvir
614015,Dapagliflozin
614016,Olanzapine Injection
614017,Iron Sucrose Injection
614018,Sodium Phosphate Rectal
614019,Umeclidinium and Vilanterol Oral Inhalation
614020,Luliconazole Topical
614021,Mesalamine Rectal
614022,Apremilast
614023,Ferumoxytol Injection
614024,Umeclidinium Oral Inhalation
614025,Droxidopa
614026,Ramucirumab Injection
614027,Ceritinib
614028,Siltuximab Injection
614029,Sumatriptan Nasal
614030,Sodium Ferric Gluconate Injection
614031,Albiglutide Injection
614032,Eslicarbazepine
614033,Iron Dextran Injection
614034,Vedolizumab Injection
614035,Belinostat Injection
614036,Dalbavancin Injection
614037,Ferric Carboxymaltose Injection
614038,Tedizolid
614039,Tedizolid Injection
614040,Idelalisib
614041,Testosterone Injection
614042,Oritavancin Injection
614043,Empagliflozin
614044,Vorapaxar
614045,Hydrocodone
614046,Suvorexant
614047,Dulaglutide Injection
614048,Pembrolizumab Injection
614049,Tavaborole Topical
614050,Efinaconazole Topical
614051,Ledipasvir and Sofosbuvir
614052,Bacitracin Topical
614053,Netupitant and Palonosetron
614055,Edoxaban
614056,Nivolumab Injection
614057,"Ombitasvir, Paritaprevir, Ritonavir, and Dasabuvir"
614059,Peginterferon Beta-1a Injection
614060,Olaparib
614061,Blinatumomab Injection
614062,Peramivir Injection
615001,Caspofungin Injection
615002,Methamphetamine
615004,Tasimelteon
615005,Riociguat
615006,Nitroglycerin Spray
615007,Lanreotide Injection
615008,Pirfenidone
615009,Nintedanib
615010,Ceftolozane and Tazobactam Injection
615011,Secukinumab Injection
615012,Risperidone Injection
615013,Palbociclib
615014,Insulin Human Inhalation
615015,Lenvatinib
615016,Naloxegol
615018,Ceftazidime and Avibactam Injection
615019,Olodaterol Oral Inhalation
615020,Panobinostat
615021,Acetylcysteine Oral Inhalation
615022,Dinutuximab Injection
615023,Haloperidol Injection
615024,Propranolol (Infantile Hemangioma)
615025,Testosterone Nasal Gel
615026,Deoxycholic Acid Injection
615027,Ivabradine
615028,Human Papillomavirus (HPV) Vaccine
615029,Amiloride
615030,Isavuconazonium Injection
615031,Isavuconazonium
615032,Paliperidone Injection
615033,Macitentan
615034,Sonidegib
615035,Alirocumab Injection
615036,"Ombitasvir, Paritaprevir, and Ritonavir"
615037,Lumacaftor and Ivacaftor
615038,Olopatadine Nasal Spray
615039,Valsartan and Sacubitril
615040,Flibanserin
615041,Rolapitant
615042,Prednisolone
615043,Evolocumab Injection
615044,Daclatasvir
615045,Serogroup B Meningococcal Vaccine (MenB)
615046,Brexpiprazole
615047,Ziprasidone Injection
615048,Aripiprazole Injection
