ml_name,db_name,ml_key
Isosorbide,Isosorbide,682348
Irbesartan,Irbesartan,698009
Eliglustat,Eliglustat,618038
Simethicone,Simethicone,682683
Relugolix,Relugolix,621006
Simeprevir,Simeprevir,614013
Hydroxyurea,Hydroxyurea,682004
Galantamine,Galantamine,699058
Boceprevir,Boceprevir,611039
Lemborexant,Lemborexant,620039
Ribavirin,Ribavirin,605018
Prasugrel,Prasugrel,609027
Indomethacin,Indomethacin,681027
Azilsartan,Azilsartan,611028
Bosutinib,Bosutinib,613005
Fexofenadine,Fexofenadine,697035
Almotriptan,Almotriptan,603028
Raloxifene,Raloxifene,698007
Ketoconazole,Ketoconazole,682816
Ivosidenib,Ivosidenib,618042
Mitomycin,Mitomycin,682415
Ofloxacin,Ofloxacin,691005
Afatinib,Afatinib,613044
Levothyroxine,Levothyroxine,682461
Chlorthalidone,Chlorthalidone,682342
Armodafinil,Armodafinil,607067
Cyclobenzaprine,Cyclobenzaprine,682514
Panobinostat,Panobinostat,615020
Asciminib,Asciminib,621055
Lenvatinib,Lenvatinib,615015
Midazolam,Midazolam,609003
Stiripentol,Stiripentol,618069
Carmustine,Carmustine,682060
Fosamprenavir,Fosamprenavir,604012
Clomipramine,Clomipramine,697002
Pacritinib,Pacritinib,622043
Cisapride,Cisapride,694006
Topiramate,Topiramate,697012
Rifamycin,Rifamycin,619010
Anagrelide,Anagrelide,601020
Theophylline,Theophylline,681006
Trofinetide,Trofinetide,623019
Avapritinib,Avapritinib,620013
Odevixibat,Odevixibat,621049
Pentazocine,Pentazocine,601092
Iptacopan,Iptacopan,624009
Guanfacine,Guanfacine,601059
Olutasidenib,Olutasidenib,623002
Altretamine,Altretamine,601200
Rasagiline,Rasagiline,606017
Phenoxybenzamine,Phenoxybenzamine,682059
Aripiprazole,Aripiprazole,603012
Gepirone,Gepirone,623052
Pitolisant,Pitolisant,619055
Atovaquone,Atovaquone,693003
Penbutolol,Penbutolol,601091
Chlorpheniramine,Chlorpheniramine,682543
Phenytoin,Phenytoin,682022
Methazolamide,Methazolamide,613034
Digoxin,Digoxin,682301
Nabilone,Nabilone,607048
Diltiazem,Diltiazem,684027
Baclofen,Baclofen,682530
Rivastigmine,Rivastigmine,602009
Famciclovir,Famciclovir,694038
Lefamulin,Lefamulin,619059
Enalapril,Enalapril,686022
Budesonide,Budesonide,608007
Bicalutamide,Bicalutamide,697047
Lovastatin,Lovastatin,688006
Penicillamine,Penicillamine,618021
Donepezil,Donepezil,697032
Sorafenib,Sorafenib,607051
Salsalate,Salsalate,682880
Tipranavir,Tipranavir,606009
Dalfampridine,Dalfampridine,611005
Tepotinib,Tepotinib,621012
Ropeginterferon alfa-2b,Ropeginterferon alfa-2b,622019
Dolasetron,Dolasetron,601001
Promethazine,Promethazine,682284
Pindolol,Pindolol,684032
Betaxolol,Betaxolol,609023
Apixaban,Apixaban,613032
Daclatasvir,Daclatasvir,615044
Lactulose,Lactulose,682338
Ketorolac,Ketorolac,693001
Dasatinib,Dasatinib,607063
Tacrolimus,Tacrolimus,601117
Zaleplon,Zaleplon,601251
Methenamine,Methenamine,682296
Mobocertinib,Mobocertinib,621048
Sparsentan,Sparsentan,623018
Retapamulin,Retapamulin,607049
Rifampin,Rifampin,682403
Selpercatinib,Selpercatinib,620036
Tamsulosin,Tamsulosin,698012
Imipramine,Imipramine,682389
Mesoridazine,Mesoridazine,682306
Dacomitinib,Dacomitinib,618055
Tucatinib,Tucatinib,620032
Tolcapone,Tolcapone,698036
Haloperidol,Haloperidol,682180
Avatrombopag,Avatrombopag,618032
Tedizolid,Tedizolid,614038
Flutamide,Flutamide,697045
Albuterol,Albuterol,607004
Doxylamine,Doxylamine,682537
Exagamglogene autotemcel,Exagamglogene autotemcel,624018
Allopurinol,Allopurinol,682673
Midostaurin,Midostaurin,617033
Potassium Iodide,Potassium Iodide,611043
Oxaprozin,Oxaprozin,693002
Chlorzoxazone,Chlorzoxazone,682577
Palbociclib,Palbociclib,615013
Amiloride,Amiloride,615029
Chlorpromazine,Chlorpromazine,682040
Idarubicin,Idarubicin,691004
Aprepitant,Aprepitant,604003
Acoramidis,Acoramidis,625013
Oxandrolone,Oxandrolone,604024
Bexarotene,Bexarotene,608006
Cinacalcet,Cinacalcet,605004
Sapropterin,Sapropterin,608020
Alvimopan,Alvimopan,608051
Opicapone,Opicapone,620059
Dantrolene,Dantrolene,682576
Terazosin,Terazosin,693046
Meclizine,Meclizine,682548
Gabapentin,Gabapentin,694007
Trimethoprim,Trimethoprim,684025
Darunavir,Darunavir,607042
Paroxetine,Paroxetine,698032
Inavolisib,Inavolisib,624068
Nitrofurantoin,Nitrofurantoin,682291
Lamotrigine,Lamotrigine,695007
Zolmitriptan,Zolmitriptan,601129
Palovarotene,Palovarotene,623038
Furosemide,Furosemide,682858
Encorafenib,Encorafenib,618040
